30 jobs
runs/llm_named_nofb_s10          reported=3.89 re-eval=2.05±1.61
runs/llm_named_nofb_s11          reported=3.81 re-eval=0.40±0.67
runs/llm_named_nofb_s12          reported=3.91 re-eval=1.27±0.91
runs/llm_named_nofb_s8           reported=3.93 re-eval=1.49±1.21
runs/llm_named_nofb_s9           reported=4.18 re-eval=0.73±0.64
114 jobs
runs/llm_anon_nofb_s10           reported=3.65 re-eval=1.55±0.88
runs/llm_anon_nofb_s11           reported=1.96 re-eval=1.92±1.53
runs/llm_anon_nofb_s12           reported=1.74 re-eval=0.32±0.66
runs/llm_anon_nofb_s13           reported=4.52 re-eval=1.70±1.15
runs/llm_anon_nofb_s14           reported=3.24 re-eval=0.93±1.29
runs/llm_anon_nofb_s15           reported=3.59 re-eval=1.23±1.51
runs/llm_anon_nofb_s16           reported=1.17 re-eval=0.96±0.90
runs/llm_anon_nofb_s17           reported=1.80 re-eval=-0.08±0.22
runs/llm_anon_nofb_s18           reported=3.76 re-eval=0.03±0.06
runs/llm_anon_nofb_s19           reported=1.60 re-eval=0.43±0.32
runs/llm_anon_nofb_s20           reported=3.66 re-eval=2.55±1.35
runs/llm_anon_nofb_s21           reported=1.26 re-eval=2.23±1.14
runs/llm_anon_nofb_s22           reported=0.93 re-eval=0.72±1.39
runs/llm_anon_nofb_s23           reported=1.97 re-eval=0.10±0.91
runs/llm_anon_nofb_s24           reported=0.54 re-eval=0.49±0.44
runs/llm_anon_nofb_s25           reported=3.59 re-eval=0.76±0.87
runs/llm_anon_nofb_s26           reported=1.18 re-eval=0.90±1.46
runs/llm_anon_nofb_s8            reported=3.38 re-eval=2.80±0.86
runs/llm_anon_nofb_s9            reported=1.68 re-eval=-0.38±0.79
