192 jobs
runs/evo_s0                      reported=3.45 re-eval=0.32±0.56
runs/evo_s1                      reported=2.76 re-eval=1.93±1.59
runs/evo_s2                      reported=0.66 re-eval=0.19±0.09
runs/evo_s3                      reported=0.10 re-eval=0.15±0.15
runs/evo_s4                      reported=2.27 re-eval=0.14±0.20
runs/evo_s5                      reported=1.00 re-eval=0.85±0.55
runs/evo_s6                      reported=4.11 re-eval=1.61±1.85
runs/evo_s7                      reported=2.97 re-eval=0.85±2.02
runs/llm_anon_fb_s0              reported=1.21 re-eval=0.86±0.61
runs/llm_anon_fb_s1              reported=3.54 re-eval=0.55±0.56
runs/llm_anon_fb_s2              reported=4.30 re-eval=0.35±0.36
runs/llm_anon_fb_s3              reported=0.96 re-eval=2.17±1.31
runs/llm_anon_nofb_s0            reported=3.30 re-eval=1.42±0.35
runs/llm_anon_nofb_s1            reported=2.06 re-eval=2.42±1.03
runs/llm_anon_nofb_s2            reported=3.63 re-eval=0.87±0.58
runs/llm_anon_nofb_s3            reported=1.54 re-eval=1.02±1.14
runs/llm_named_fb_s0             reported=3.73 re-eval=1.47±0.86
runs/llm_named_fb_s1             reported=3.15 re-eval=0.32±0.13
runs/llm_named_fb_s2             reported=3.36 re-eval=0.10±0.18
runs/llm_named_fb_s3             reported=0.93 re-eval=2.31±1.68
runs/llm_named_nofb_s0           reported=3.19 re-eval=1.15±1.47
runs/llm_named_nofb_s1           reported=2.66 re-eval=1.98±1.32
runs/llm_named_nofb_s2           reported=2.93 re-eval=0.71±0.77
runs/llm_named_nofb_s3           reported=1.57 re-eval=1.52±1.50
runs/random_s0                   reported=1.19 re-eval=0.65±1.23
runs/random_s1                   reported=1.55 re-eval=0.69±0.64
runs/random_s2                   reported=3.26 re-eval=0.01±0.24
runs/random_s3                   reported=1.84 re-eval=0.07±0.08
runs/random_s4                   reported=2.96 re-eval=1.79±1.15
runs/random_s5                   reported=1.64 re-eval=-0.01±0.12
runs/random_s6                   reported=3.43 re-eval=1.38±1.81
runs/random_s7                   reported=0.56 re-eval=0.14±0.62
