624 jobs
runs/contrast_s0                 reported=3.78 re-eval=3.75±0.41
runs/contrast_s1                 reported=3.42 re-eval=2.16±1.25
runs/contrast_s2                 reported=2.00 re-eval=1.38±0.91
runs/contrast_s3                 reported=0.24 re-eval=0.23±0.01
runs/contrast_s4                 reported=0.49 re-eval=0.41±0.71
runs/contrast_s5                 reported=0.49 re-eval=0.17±0.20
runs/contrast_s6                 reported=4.07 re-eval=1.26±1.25
runs/contrast_s7                 reported=2.93 re-eval=0.72±1.30
runs/evo_s0                      reported=3.45 re-eval=0.32±0.56
runs/evo_s1                      reported=2.76 re-eval=1.93±1.59
runs/evo_s2                      reported=0.66 re-eval=0.19±0.09
runs/evo_s3                      reported=0.10 re-eval=0.15±0.15
runs/evo_s4                      reported=2.27 re-eval=0.14±0.20
runs/evo_s5                      reported=1.00 re-eval=0.85±0.55
runs/evo_s6                      reported=4.11 re-eval=1.61±1.85
runs/evo_s7                      reported=2.97 re-eval=0.85±2.02
runs/llm_anon_fb_s0              reported=1.21 re-eval=0.86±0.61
runs/llm_anon_fb_s1              reported=3.54 re-eval=0.55±0.56
runs/llm_anon_fb_s2              reported=4.30 re-eval=0.35±0.36
runs/llm_anon_fb_s3              reported=0.96 re-eval=2.17±1.31
runs/llm_anon_fb_s4              reported=0.98 re-eval=1.31±1.54
runs/llm_anon_fb_s5              reported=3.64 re-eval=0.95±0.66
runs/llm_anon_fb_s6              reported=4.32 re-eval=2.81±1.34
runs/llm_anon_fb_s7              reported=1.44 re-eval=0.71±0.56
runs/llm_anon_nofb_s0            reported=3.30 re-eval=1.42±0.35
runs/llm_anon_nofb_s1            reported=2.06 re-eval=2.42±1.03
runs/llm_anon_nofb_s2            reported=3.63 re-eval=0.87±0.58
runs/llm_anon_nofb_s3            reported=1.54 re-eval=1.02±1.14
runs/llm_anon_nofb_s4            reported=2.54 re-eval=1.30±1.64
runs/llm_anon_nofb_s5            reported=2.73 re-eval=-0.06±0.46
runs/llm_anon_nofb_s6            reported=3.66 re-eval=1.76±1.76
runs/llm_anon_nofb_s7            reported=2.99 re-eval=1.70±1.02
runs/llm_named_fb_s0             reported=3.73 re-eval=1.47±0.86
runs/llm_named_fb_s1             reported=3.15 re-eval=0.32±0.13
runs/llm_named_fb_s2             reported=3.36 re-eval=0.10±0.18
runs/llm_named_fb_s3             reported=0.93 re-eval=2.31±1.68
runs/llm_named_fb_s4             reported=4.62 re-eval=1.25±1.13
runs/llm_named_fb_s5             reported=1.21 re-eval=0.25±0.49
runs/llm_named_fb_s6             reported=3.38 re-eval=1.16±1.40
runs/llm_named_fb_s7             reported=2.29 re-eval=-0.04±0.11
runs/llm_named_nofb_s0           reported=3.19 re-eval=1.15±1.47
runs/llm_named_nofb_s1           reported=2.66 re-eval=1.98±1.32
runs/llm_named_nofb_s2           reported=2.93 re-eval=0.71±0.77
runs/llm_named_nofb_s3           reported=1.57 re-eval=1.52±1.50
runs/llm_named_nofb_s4           reported=3.62 re-eval=0.98±0.88
runs/llm_named_nofb_s5           reported=3.46 re-eval=0.56±0.92
runs/llm_named_nofb_s6           reported=3.66 re-eval=0.50±0.66
runs/llm_named_nofb_s7           reported=4.27 re-eval=0.93±1.42
runs/random_s0                   reported=1.19 re-eval=0.65±1.23
runs/random_s1                   reported=1.55 re-eval=0.69±0.64
runs/random_s2                   reported=3.26 re-eval=0.01±0.24
runs/random_s3                   reported=1.84 re-eval=0.07±0.08
runs/random_s4                   reported=2.96 re-eval=1.79±1.15
runs/random_s5                   reported=1.64 re-eval=-0.01±0.12
runs/random_s6                   reported=3.43 re-eval=1.38±1.81
runs/random_s7                   reported=0.56 re-eval=0.14±0.62
runs/sparse12_s0                 reported=1.19 re-eval=2.41±1.21
runs/sparse12_s1                 reported=1.39 re-eval=1.50±0.58
runs/sparse12_s2                 reported=1.41 re-eval=0.46±0.41
runs/sparse12_s3                 reported=1.77 re-eval=1.54±1.55
runs/sparse12_s4                 reported=1.43 re-eval=2.02±1.32
runs/sparse12_s5                 reported=0.77 re-eval=0.17±0.17
runs/sparse12_s6                 reported=1.08 re-eval=1.12±0.52
runs/sparse12_s7                 reported=1.16 re-eval=0.63±0.92
runs/sparse14_s0                 reported=2.14 re-eval=0.56±0.95
runs/sparse14_s1                 reported=0.36 re-eval=1.16±1.50
runs/sparse14_s2                 reported=2.80 re-eval=2.11±1.33
runs/sparse14_s3                 reported=0.98 re-eval=1.21±0.77
runs/sparse14_s4                 reported=0.85 re-eval=0.20±0.20
runs/sparse14_s5                 reported=2.13 re-eval=0.53±0.55
runs/sparse14_s6                 reported=1.80 re-eval=1.29±1.01
runs/sparse14_s7                 reported=3.50 re-eval=1.09±1.21
runs/sparse2_s0                  reported=1.36 re-eval=1.30±1.88
runs/sparse2_s1                  reported=1.38 re-eval=1.88±0.75
runs/sparse2_s2                  reported=2.96 re-eval=0.89±1.07
runs/sparse2_s3                  reported=1.51 re-eval=-0.04±0.25
runs/sparse2_s4                  reported=1.76 re-eval=0.55±0.61
runs/sparse2_s5                  reported=1.65 re-eval=0.92±0.88
runs/sparse2_s6                  reported=1.08 re-eval=0.10±0.99
runs/sparse2_s7                  reported=1.57 re-eval=1.67±1.45
runs/sparse3_s0                  reported=1.19 re-eval=1.12±1.12
runs/sparse3_s1                  reported=2.13 re-eval=1.97±0.90
runs/sparse3_s2                  reported=0.81 re-eval=1.23±0.74
runs/sparse3_s3                  reported=2.46 re-eval=1.16±1.76
runs/sparse3_s4                  reported=1.60 re-eval=0.84±0.40
runs/sparse3_s5                  reported=1.70 re-eval=1.49±1.55
runs/sparse3_s6                  reported=2.17 re-eval=0.74±0.77
runs/sparse3_s7                  reported=1.53 re-eval=-0.19±0.69
runs/sparse5_s0                  reported=3.79 re-eval=1.89±1.03
runs/sparse5_s1                  reported=0.50 re-eval=1.22±0.84
runs/sparse5_s2                  reported=3.86 re-eval=1.50±1.07
runs/sparse5_s3                  reported=1.11 re-eval=0.01±0.10
runs/sparse5_s4                  reported=0.92 re-eval=1.80±1.71
runs/sparse5_s5                  reported=1.19 re-eval=0.73±0.86
runs/sparse5_s6                  reported=1.33 re-eval=2.59±1.67
runs/sparse5_s7                  reported=2.62 re-eval=0.87±1.14
runs/sparse8_s0                  reported=0.45 re-eval=0.60±0.35
runs/sparse8_s1                  reported=0.94 re-eval=0.69±0.45
runs/sparse8_s2                  reported=1.47 re-eval=0.29±0.27
runs/sparse8_s3                  reported=0.59 re-eval=0.13±0.13
runs/sparse8_s4                  reported=0.84 re-eval=0.61±0.60
runs/sparse8_s5                  reported=1.47 re-eval=2.46±1.65
runs/sparse8_s6                  reported=2.17 re-eval=0.39±0.79
runs/sparse8_s7                  reported=3.58 re-eval=0.90±0.80
