192 jobs
runs/sparseclean12_s0            reported=3.61 re-eval=1.42±1.19
runs/sparseclean12_s1            reported=1.63 re-eval=1.11±0.38
runs/sparseclean12_s2            reported=1.55 re-eval=1.73±1.66
runs/sparseclean12_s3            reported=3.12 re-eval=0.41±1.03
runs/sparseclean12_s4            reported=3.60 re-eval=0.31±0.56
runs/sparseclean12_s5            reported=2.57 re-eval=0.51±1.30
runs/sparseclean12_s6            reported=2.84 re-eval=0.35±0.75
runs/sparseclean12_s7            reported=1.41 re-eval=1.75±1.65
runs/sparseclean3_s0             reported=1.37 re-eval=1.29±0.54
runs/sparseclean3_s1             reported=1.06 re-eval=1.99±1.73
runs/sparseclean3_s2             reported=3.35 re-eval=-0.14±0.35
runs/sparseclean3_s3             reported=4.26 re-eval=1.84±1.27
runs/sparseclean3_s4             reported=1.62 re-eval=1.68±1.69
runs/sparseclean3_s5             reported=2.23 re-eval=2.00±1.21
runs/sparseclean3_s6             reported=3.16 re-eval=0.52±0.56
runs/sparseclean3_s7             reported=3.99 re-eval=0.37±0.55
runs/sparseclean5_s0             reported=2.80 re-eval=2.28±0.87
runs/sparseclean5_s1             reported=3.61 re-eval=2.10±0.96
runs/sparseclean5_s2             reported=1.93 re-eval=1.93±1.68
runs/sparseclean5_s3             reported=1.48 re-eval=0.76±0.67
runs/sparseclean5_s4             reported=1.37 re-eval=0.62±0.70
runs/sparseclean5_s5             reported=4.32 re-eval=1.94±1.20
runs/sparseclean5_s6             reported=2.42 re-eval=0.58±0.56
runs/sparseclean5_s7             reported=3.40 re-eval=0.63±0.51
runs/sparseclean8_s0             reported=1.19 re-eval=0.71±0.62
runs/sparseclean8_s1             reported=2.13 re-eval=1.96±1.02
runs/sparseclean8_s2             reported=2.92 re-eval=1.61±0.84
runs/sparseclean8_s3             reported=2.43 re-eval=0.41±0.35
runs/sparseclean8_s4             reported=3.72 re-eval=0.70±0.48
runs/sparseclean8_s5             reported=1.52 re-eval=1.43±0.63
runs/sparseclean8_s6             reported=3.52 re-eval=1.00±0.96
runs/sparseclean8_s7             reported=1.58 re-eval=0.50±0.69
