96 jobs
runs/midhp_s0                    reported=3.00 re-eval=1.31±1.05
runs/midhp_s1                    reported=1.50 re-eval=0.88±1.14
runs/midhp_s2                    reported=1.30 re-eval=1.15±1.40
runs/midhp_s3                    reported=1.41 re-eval=0.07±0.03
runs/midhp_s4                    reported=3.32 re-eval=1.73±1.43
runs/midhp_s5                    reported=1.36 re-eval=1.02±1.11
runs/midhp_s6                    reported=1.59 re-eval=0.12±0.79
runs/midhp_s7                    reported=0.83 re-eval=0.32±0.43
runs/sparse5mid_s0               reported=4.37 re-eval=2.09±1.64
runs/sparse5mid_s1               reported=4.20 re-eval=1.88±1.15
runs/sparse5mid_s2               reported=2.47 re-eval=1.52±1.53
runs/sparse5mid_s3               reported=1.44 re-eval=1.06±1.29
runs/sparse5mid_s4               reported=3.71 re-eval=0.81±1.36
runs/sparse5mid_s5               reported=3.44 re-eval=1.04±0.60
runs/sparse5mid_s6               reported=3.78 re-eval=1.20±1.33
runs/sparse5mid_s7               reported=0.90 re-eval=0.57±0.67
