96 jobs
runs/sparse5_s10                 reported=1.59 re-eval=2.04±1.24
runs/sparse5_s11                 reported=0.80 re-eval=2.11±1.62
runs/sparse5_s12                 reported=2.02 re-eval=-0.11±0.35
runs/sparse5_s13                 reported=2.94 re-eval=1.23±1.26
runs/sparse5_s14                 reported=1.08 re-eval=0.73±1.63
runs/sparse5_s15                 reported=1.47 re-eval=0.27±0.69
runs/sparse5_s16                 reported=1.09 re-eval=1.33±1.82
runs/sparse5_s17                 reported=1.99 re-eval=0.08±0.08
runs/sparse5_s18                 reported=1.63 re-eval=0.21±0.17
runs/sparse5_s19                 reported=1.31 re-eval=0.14±0.06
runs/sparse5_s20                 reported=0.44 re-eval=-0.03±0.06
runs/sparse5_s21                 reported=1.39 re-eval=0.13±0.18
runs/sparse5_s22                 reported=2.14 re-eval=0.85±0.61
runs/sparse5_s23                 reported=0.86 re-eval=0.66±1.23
runs/sparse5_s8                  reported=2.81 re-eval=0.98±0.61
runs/sparse5_s9                  reported=3.74 re-eval=1.88±1.69
