144 jobs
runs_dense/evo_s0                reported=3.91 re-eval=1.26±1.39
runs_dense/evo_s1                reported=1.60 re-eval=0.62±0.69
runs_dense/evo_s2                reported=0.07 re-eval=-0.02±0.09
runs_dense/evo_s3                reported=0.30 re-eval=0.01±0.13
runs_dense/evo_s4                reported=2.59 re-eval=1.42±0.89
runs_dense/evo_s5                reported=0.21 re-eval=-0.08±0.30
runs_dense/evo_s6                reported=0.62 re-eval=0.38±0.20
runs_dense/evo_s7                reported=0.22 re-eval=0.04±0.07
runs_dense/llm_named_nofb_s0     reported=3.74 re-eval=0.35±0.60
runs_dense/llm_named_nofb_s1     reported=2.60 re-eval=0.66±0.76
runs_dense/llm_named_nofb_s2     reported=3.78 re-eval=2.18±1.32
runs_dense/llm_named_nofb_s3     reported=3.67 re-eval=1.80±1.47
runs_dense/llm_named_nofb_s4     reported=3.83 re-eval=1.60±1.56
runs_dense/llm_named_nofb_s5     reported=3.74 re-eval=0.75±1.34
runs_dense/llm_named_nofb_s6     reported=3.98 re-eval=0.61±1.39
runs_dense/llm_named_nofb_s7     reported=3.46 re-eval=1.81±2.02
runs_dense/random_s0             reported=0.81 re-eval=1.02±0.52
runs_dense/random_s1             reported=1.68 re-eval=0.68±0.41
runs_dense/random_s2             reported=1.10 re-eval=0.73±1.40
runs_dense/random_s3             reported=0.37 re-eval=0.14±0.20
runs_dense/random_s4             reported=1.43 re-eval=0.85±0.81
runs_dense/random_s5             reported=0.52 re-eval=-0.01±0.19
runs_dense/random_s6             reported=1.64 re-eval=0.81±1.27
runs_dense/random_s7             reported=0.18 re-eval=0.01±0.03
