288 jobs
runs_k4/evo_s0                   reported=0.47 re-eval=0.37±0.49
runs_k4/evo_s1                   reported=2.26 re-eval=1.94±1.54
runs_k4/evo_s10                  reported=1.47 re-eval=1.38±0.23
runs_k4/evo_s11                  reported=0.94 re-eval=0.75±0.82
runs_k4/evo_s2                   reported=0.04 re-eval=-0.01±0.08
runs_k4/evo_s3                   reported=0.12 re-eval=0.07±0.10
runs_k4/evo_s4                   reported=0.37 re-eval=0.47±0.55
runs_k4/evo_s5                   reported=0.01 re-eval=-0.00±0.05
runs_k4/evo_s6                   reported=0.25 re-eval=0.19±0.24
runs_k4/evo_s7                   reported=1.89 re-eval=1.72±1.13
runs_k4/evo_s8                   reported=0.17 re-eval=0.12±0.14
runs_k4/evo_s9                   reported=1.52 re-eval=0.64±0.74
runs_k4/llm_anon_fb_s0           reported=0.54 re-eval=1.97±1.53
runs_k4/llm_anon_fb_s1           reported=0.02 re-eval=0.08±0.37
runs_k4/llm_anon_fb_s10          reported=1.51 re-eval=0.73±0.51
runs_k4/llm_anon_fb_s11          reported=0.88 re-eval=-0.23±0.32
runs_k4/llm_anon_fb_s2           reported=0.76 re-eval=1.38±1.25
runs_k4/llm_anon_fb_s3           reported=1.09 re-eval=0.74±0.54
runs_k4/llm_anon_fb_s4           reported=2.00 re-eval=1.26±1.34
runs_k4/llm_anon_fb_s5           reported=0.51 re-eval=0.15±0.39
runs_k4/llm_anon_fb_s6           reported=1.95 re-eval=1.24±1.38
runs_k4/llm_anon_fb_s7           reported=1.16 re-eval=0.97±1.22
runs_k4/llm_anon_fb_s8           reported=1.55 re-eval=0.75±1.36
runs_k4/llm_anon_fb_s9           reported=0.44 re-eval=0.19±0.24
runs_k4/llm_anon_nofb_s0         reported=1.61 re-eval=0.78±0.73
runs_k4/llm_anon_nofb_s1         reported=0.66 re-eval=-0.05±0.07
runs_k4/llm_anon_nofb_s10        reported=1.89 re-eval=1.74±1.48
runs_k4/llm_anon_nofb_s11        reported=1.89 re-eval=2.23±1.65
runs_k4/llm_anon_nofb_s2         reported=1.14 re-eval=0.84±0.42
runs_k4/llm_anon_nofb_s3         reported=1.57 re-eval=0.89±1.05
runs_k4/llm_anon_nofb_s4         reported=2.19 re-eval=0.35±0.41
runs_k4/llm_anon_nofb_s5         reported=1.60 re-eval=0.67±0.54
runs_k4/llm_anon_nofb_s6         reported=1.68 re-eval=1.82±1.37
runs_k4/llm_anon_nofb_s7         reported=1.51 re-eval=1.50±0.94
runs_k4/llm_anon_nofb_s8         reported=0.76 re-eval=0.67±1.26
runs_k4/llm_anon_nofb_s9         reported=0.24 re-eval=0.56±1.28
runs_k4/llm_named_fb_s0          reported=1.32 re-eval=0.82±1.55
runs_k4/llm_named_fb_s1          reported=1.14 re-eval=0.76±0.84
runs_k4/llm_named_fb_s10         reported=1.22 re-eval=1.17±1.28
runs_k4/llm_named_fb_s11         reported=2.12 re-eval=0.27±0.37
runs_k4/llm_named_fb_s2          reported=2.37 re-eval=1.71±1.63
runs_k4/llm_named_fb_s3          reported=0.79 re-eval=0.19±0.36
runs_k4/llm_named_fb_s4          reported=1.36 re-eval=0.82±1.41
runs_k4/llm_named_fb_s5          reported=1.74 re-eval=0.49±0.48
runs_k4/llm_named_fb_s6          reported=1.27 re-eval=0.35±0.26
runs_k4/llm_named_fb_s7          reported=2.32 re-eval=1.53±1.28
runs_k4/llm_named_fb_s8          reported=2.25 re-eval=0.60±1.27
runs_k4/llm_named_fb_s9          reported=2.16 re-eval=1.03±0.80
